iso_code,total_vaccinations,people_fully_vaccinated_per_hundred
ABW,73360.0,18.84
AIA,6898.0,5.22
ALB,400064.0,0.02
AND,26414.0,6.06
ARE,10336214.0,38.79
ARG,7386650.0,1.95
AUT,2863389.0,8.73
AZE,1440243.0,4.87
BEL,3563371.0,6.6
BGD,7954176.0,1.31
BGR,750899.0,2.56
BHR,1206763.0,31.14
BLR,328500.0,0.89
BMU,55904.0,38.18
BOL,688654.0,1.7
BRA,40168799.0,5.76
CAN,12564325.0,2.77
CHE,2431709.0,9.99
CHL,14324489.0,33.11
COL,4535151.0,2.84
CRI,818884.0,5.5
CUW,89193.0,11.83
CYM,65383.0,45.76
CYP,236265.0,6.87
CZE,2938538.0,9.03
DEU,25892613.0,7.21
DMA,23055.0,6.69
DNK,1840573.0,10.13
DOM,1747878.0,6.95
ECU,743937.0,1.15
ESP,14994667.0,8.6
EST,411580.0,7.53
FIN,1703632.0,2.79
FLK,4407.0,50.96
FRA,20014256.0,8.37
FRO,19262.0,11.41
GAB,8897.0,0.09
GBR,47045391.0,19.45
GGY,46587.0,20.31
GIB,68752.0,95.06
GIN,132340.0,0.31
GNQ,55799.0,0.6
GRC,2945058.0,8.45
GRD,12764.0,0.88
GRL,13214.0,7.71
GTM,166209.0,0.01
GUY,113596.0,0.23
HKG,1326977.0,6.06
HND,57639.0,0.03
HRV,812984.0,4.22
HUN,5548121.0,18.36
IDN,19230446.0,2.64
IMN,70810.0,18.46
IND,144879233.0,1.71
IRL,1398061.0,8.1
IRN,667202.0,0.18
ISL,113330.0,9.56
ISR,10468200.0,58.63
ITA,18502829.0,8.98
JEY,80002.0,28.8
JOR,732052.0,1.22
JPN,3225464.0,0.75
KAZ,1133982.0,0.98
KHM,2117564.0,4.9
KOR,2735051.0,0.29
KWT,860000.0,0.89
LAO,184387.0,0.8
LBN,438268.0,2.28
LIE,11457.0,9.71
LTU,897571.0,9.19
LUX,180488.0,7.77
LVA,269517.0,2.23
MAC,98021.0,5.25
MAR,9041985.0,11.47
MCO,24390.0,29.64
MDA,132600.0,0.32
MDV,382078.0,16.4
MEX,16687189.0,4.73
MLT,318706.0,23.22
MMR,1040000.0,0.07
MNE,60185.0,3.25
MNG,1007030.0,8.01
MSR,1909.0,12.32
MYS,1369749.0,1.62
NAM,12833.0,0.03
NLD,5293851.0,5.5
NOR,1528813.0,5.7
NZL,232588.0,1.24
OMN,253057.0,1.07
OWID_CYN,109490.0,12.78
OWID_ENG,39398398.0,19.62
OWID_NIR,1275695.0,18.82
OWID_SCT,3884852.0,20.18
OWID_WLS,2486446.0,22.24
PAN,640507.0,4.36
PER,1471473.0,1.78
PHL,1809807.0,0.23
POL,10740169.0,7.26
PRT,3081026.0,8.18
PRY,98666.0,0.17
PSE,213989.0,0.86
ROU,4913012.0,9.46
RUS,18557064.0,4.77
SGP,2213888.0,14.53
SHN,4572.0,16.62
SLE,57364.0,0.07
SLV,788173.0,0.62
SMR,26895.0,25.52
SRB,3274776.0,19.4
SVK,1492640.0,8.25
SVN,586315.0,8.45
SWE,3019266.0,7.24
SYC,123831.0,58.21
TCA,25039.0,25.83
THA,1227032.0,0.31
TUN,333000.0,0.59
TUR,21678461.0,9.84
URY,1695351.0,15.95
USA,232407669.0,28.93
ZAF,292623.0,0.49
ZWE,433939.0,0.43
